# function: PLOT
# windowSize: 0
# whereClause: success=1 AND bytes>30000 AND nodeDistance=1
# nodeID: 0
# counter: laptoptimeSEC
# old: 0
# new: 1
# breakLineInterval: 
# noZeros: 0
# table: FETCH_SUMMARY
# column: bytesPerSecond
# starttime: 1123730302.617
# endtime: 1124454509.222
# TAG	MEAN	STDDEV	COUNT	SUM	SPAN
1	549.338000555085	75.0127165423453	134	73611.2920743814	721843.197999954
2	354.75905934638	65.4892361586257	555	196891.277937241	723394.278000116
3	221.677378874829	49.3925023132649	420	93104.4991274281	722072.015000105
4	199.033551607441	30.2495287664626	121	24083.0597445004	717709.697000027
5	175.629741328095	25.6720768769501	54	9484.00603171713	717716.767999887
6	114.109337823918	36.4324394501389	72	8215.87232332208	717682.231999874
7		0	0	0	0
8		0	0	0	0
9		0	0	0	0
10		0	0	0	0
