#Event: 2005-08-12_02.15.18
#<nodeID>	<distToVent(m)>	<arrTime(sec)>	<distToVentOffset1stArrNode(m)>	<arrTimeOffset1stArrNode(sec)>	<distToVentOffsetNode205(m)>	<arrTimeOffsetNode205(sec)>
207	2958.94	36.08	0.00	0.00	-850.94	-2.62
200	3264.07	36.96	305.13	0.88	-545.81	-1.74
201	3430.66	37.49	471.72	1.41	-379.22	-1.21
202	3745.50	38.37	786.56	2.29	-64.38	-0.33
205	3809.88	38.70	850.94	2.62	0.00	0.00



#Event: 2005-08-13_01.27.46						
#<nodeID>	<distToVent(m)>	<arrTime(sec)>	<distToVentOffset1stArrNode(m)>	<arrTimeOffset1stArrNode(sec)>	<distToVentOffsetNode205(m)>	<arrTimeOffsetNode205(sec)>
208	2206.91	34.72	0.00	0.00	-1602.97	-4.72
206	2603.05	35.88	396.14	1.16	-1206.83	-3.56
209	2754.76	36.37	547.85	1.65	-1055.13	-3.07
207	2958.94	36.97	752.03	2.25	-850.94	-2.47
200	3264.07	37.88	1057.16	3.16	-545.81	-1.56
201	3430.66	38.37	1223.75	3.65	-379.22	-1.07
202	3745.50	39.24	1538.59	4.52	-64.38	-0.20
205	3809.88	39.44	1602.97	4.72	0.00	0.00


#Event: 2005-08-15_19.29.08						
#<nodeID>	<distToVent(m)>	<arrTime(sec)>	<distToVentOffset1stArrNode(m)>	<arrTimeOffset1stArrNode(sec)>	<distToVentOffsetNode205(m)>	<arrTimeOffsetNode205(sec)>
213	1888.12	30.35	0.00	0.00	-1921.76	-5.56
208	2206.91	31.28	318.79	0.93	-1602.97	-4.63
206	2603.05	32.57	714.93	2.22	-1206.83	-3.34
209	2754.76	32.93	866.64	2.58	-1055.13	-2.98
207	2958.94	33.49	1070.82	3.14	-850.94	-2.42
205	3809.88	35.91	1921.76	5.56	0.00	0.00


#Event: 2005-08-16_09.45.14						
#<nodeID>	<distToVent(m)>	<arrTime(sec)>	<distToVentOffset1stArrNode(m)>	<arrTimeOffset1stArrNode(sec)>	<distToVentOffsetNode205(m)>	<arrTimeOffsetNode205(sec)>
213	1888.12	37.00	0.00	0.00	-1921.76	-5.60
208	2206.91	37.90	318.79	0.90	-1602.97	-4.71
206	2603.05	39.09	714.93	2.09	-1206.83	-3.51
209	2754.76	39.51	866.64	2.51	-1055.13	-3.09
201	3430.66	41.51	1542.54	4.51	-379.22	-1.09
202	3745.50	42.41	1857.38	5.41	-64.38	-0.19
205	3809.88	42.60	1921.76	5.60	0.00	0.00
210	3972.90	43.09	2084.78	6.09	163.02	0.49

