# function: PLOT
# windowSize: 0
# whereClause: success=1 AND bytes>30000 AND nodeDistance=1
# nodeID: 0
# counter: laptoptimeSEC
# old: 1
# new: 0
# breakLineInterval: 
# noZeros: 0
# table: FETCH_SUMMARY
# column: bytesPerSecond
# starttime: 1123079234.522
# endtime: 1123730302.617
# TAG	MEAN	STDDEV	COUNT	SUM	SPAN
1	553.951078049743	102.597524088104	44	24373.8474341887	361769.067000151
2	385.99577902124	71.5431760086859	289	111552.780137138	368201.695999861
3	179.265472702205	66.2931194740888	181	32447.0505590991	356424.536000013
4	101.156058741456	22.5346246018511	48	4855.4908195899	355921.072000027
5	83.5717425752044	27.2252373613914	11	919.289168327248	362033.098999977
6	61.9121554970485	4.19163430739668	9	557.209399473437	102211.828999996
7		0	0	0	0
8		0	0	0	0
9		0	0	0	0
10		0	0	0	0
