Loading depthlist /home/mdw/src/tinyos/volcano2007/data/generated/depthlist.dat...
Depthlist opened, 9846 entries
DOWNLOAD: node 104 dltime 159.218524
DOWNLOAD: node 100 dltime 102.782368
DOWNLOAD: node 103 dltime 138.281862
DOWNLOAD: node 103 dltime 185.523891
DOWNLOAD: node 103 dltime 153.939043
DOWNLOAD: node 103 dltime 144.781660
DOWNLOAD: node 103 dltime 125.363413
DOWNLOAD: node 100 dltime 103.501996
DOWNLOAD: node 102 dltime 143.555016
DOWNLOAD: node 103 dltime 156.679377
DOWNLOAD: node 101 dltime 140.700251
DOWNLOAD: node 102 dltime 154.556556
DOWNLOAD: node 103 dltime 154.794470
DOWNLOAD: node 102 dltime 153.037768
DOWNLOAD: node 102 dltime 159.903352
DOWNLOAD: node 102 dltime 149.874000
DOWNLOAD: node 103 dltime 145.669073
DOWNLOAD: node 103 dltime 162.262981
DOWNLOAD: node 103 dltime 181.613363
DOWNLOAD: node 103 dltime 154.154694
DOWNLOAD: node 103 dltime 169.322216
DOWNLOAD: node 103 dltime 174.366419
DOWNLOAD: node 103 dltime 148.384410
DOWNLOAD: node 103 dltime 145.303190
DOWNLOAD: node 103 dltime 155.382914
DOWNLOAD: node 103 dltime 145.782701
DOWNLOAD: node 103 dltime 151.275176
DOWNLOAD: node 103 dltime 138.937575
DOWNLOAD: node 103 dltime 134.481756
DOWNLOAD: node 103 dltime 155.221397
DOWNLOAD: node 103 dltime 157.367371
DOWNLOAD: node 103 dltime 153.173535
DOWNLOAD: node 103 dltime 132.679103
DOWNLOAD: node 103 dltime 143.182828
DOWNLOAD: node 103 dltime 144.656363
DOWNLOAD: node 103 dltime 140.288383
DOWNLOAD: node 103 dltime 142.207437
DOWNLOAD: node 103 dltime 156.316611
DOWNLOAD: node 103 dltime 150.828798
DOWNLOAD: node 103 dltime 126.303398
DOWNLOAD: node 103 dltime 141.775657
DOWNLOAD: node 103 dltime 148.864964
DOWNLOAD: node 103 dltime 149.635207
DOWNLOAD: node 103 dltime 149.031458
DOWNLOAD: node 103 dltime 135.817572
DOWNLOAD: node 103 dltime 127.542954
DOWNLOAD: node 103 dltime 140.064188
DOWNLOAD: node 103 dltime 130.343091
DOWNLOAD: node 103 dltime 151.448370
DOWNLOAD: node 103 dltime 164.079883
DOWNLOAD: node 103 dltime 143.702697
DOWNLOAD: node 103 dltime 151.989918
DOWNLOAD: node 103 dltime 147.398755
DOWNLOAD: node 103 dltime 146.125662
DOWNLOAD: node 103 dltime 131.835886
DOWNLOAD: node 103 dltime 151.782514
DOWNLOAD: node 103 dltime 143.114385
DOWNLOAD: node 103 dltime 138.504100
DOWNLOAD: node 103 dltime 178.236324
DOWNLOAD: node 103 dltime 125.111613
DOWNLOAD: node 103 dltime 135.623985
DOWNLOAD: node 103 dltime 146.434101
DOWNLOAD: node 103 dltime 137.413256
DOWNLOAD: node 103 dltime 136.625879
DOWNLOAD: node 103 dltime 144.683166
DOWNLOAD: node 103 dltime 134.850570
DOWNLOAD: node 103 dltime 160.590899
DOWNLOAD: node 103 dltime 154.923591
DOWNLOAD: node 103 dltime 131.435160
DOWNLOAD: node 103 dltime 132.023868
DOWNLOAD: node 103 dltime 135.286287
DOWNLOAD: node 103 dltime 128.492634
DOWNLOAD: node 103 dltime 147.206279
DOWNLOAD: node 103 dltime 139.662717
