# function: PLOT
# windowSize: 0
# whereClause: success=1 AND bytes>30000 AND nodeDistance=1
# nodeID: 0
# counter: laptoptimeSEC
# old: 0
# new: 0
# breakLineInterval: 
# noZeros: 0
# table: FETCH_SUMMARY
# column: bytesPerSecond
# starttime: 1123079234.522
# endtime: 1124454509.222
# TAG	MEAN	STDDEV	COUNT	SUM	SPAN
1	550.478311845899	82.7160295889191	178	97985.13950857	1372635.1960001
2	365.455045111823	69.2286634569543	844	308444.058074379	1372229.71700001
3	208.904408796218	58.3696948156853	601	125551.549686527	1359289.93099999
4	171.234027006451	52.4166647591148	169	28938.5505640903	1354654.47300005
5	160.050695385298	43.1790263354942	65	10403.2952000444	1359952.16999984
6	108.30965089871	38.0904909093856	81	8773.08172279551	1114566.64899993
7		0	0	0	0
8		0	0	0	0
9		0	0	0	0
10		0	0	0	0
