# STAGE 2
# GMTTime	isSynced	localTime	globalTime
875902617	1	1042241240	2070222735
875922195	1	1042881306	2070785463
875931963	1	1043201228	2071066730
875941788	1	1043521237	2071348073
875951466	1	1043841361	2071629518
875961237	1	1044161257	2071910762
875971013	1	1044481268	2072192106
875980775	1	1044801259	2072473434
875990736	1	1045121253	2072754763
876000288	1	1045441227	2073036075
876010061	1	1045761226	2073317411
876019829	1	1046081228	2073598747
876029873	1	1046401306	2073880151
876039368	1	1046721245	2074161431
876049141	1	1047041226	2074442750
876059005	1	1047361229	2074724087
876068700	1	1047681228	2075005423
876078416	1	1048001234	2075286763
876088325	1	1048321358	2075568207
876098000	1	1048641303	2075849493
876107825	1	1048961227	2076130762
876117492	1	1049281226	2076412096
876127235	1	1049601237	2076693433
876137010	1	1049921250	2076974778
876146781	1	1050241230	2077256096
876156648	1	1050561256	2077537455
876166438	1	1050881226	2077818764
876176331	1	1051201244	2078100115
876185905	1	1051521256	2078381460
876195621	1	1051841259	2078662797
876205365	1	1052161262	2078944135
876215140	1	1052481226	2079225438
876224954	1	1052801231	2079506777
876234724	1	1053121257	2079788135
876244494	1	1053441226	2080069443
876254257	1	1053761226	2080350778
876264025	1	1054081227	2080632114
876273799	1	1054401367	2080913570
876283615	1	1054721356	2081194895
876293349	1	1055041331	2081476207
876303041	1	1055361226	2081757452
876312900	1	1055681226	2082038787
876322661	1	1056001438	2082320308
876332426	1	1056321265	2082601490
876351939	1	1056961252	2083164148
876361638	1	1057281229	2083445466
876371532	1	1057601257	2083726826
876371541	1	1057601257	2083726826
876381329	1	1057921317	2084008213
876390986	1	1058241226	2084289468
876400707	1	1058561229	2084570804
876410491	1	1058881268	2084852171
876420505	1	1059201256	2085133484
876429992	1	1059521273	2085414832
876478850	1	1061121228	2086821476
876488585	1	1061441226	2087102809
876498357	1	1061761254	2087384168
876508373	1	1062081226	2087665483
876527804	1	1062721232	2088228158
876547196	1	1063361226	2088790825
876557063	1	1063681229	2089072163
