# "NODEID"	"TOTAL"	"GOOD"	"FINAL"	"GOOD"	"FINAL"
0 200	147582	133514	14068	90.467672209348	9.53232779065198
1 201	142754	129003	13751	90.3673452232512	9.63265477674881
2 202	139963	136614	3349	97.6072247665454	2.39277523345456
3 203	128416	118574	9842	92.3358460004984	7.66415399950162
4 204	93150	91109	2041	97.808910359635	2.191089640365
5 205	141575	140187	1388	99.0196009182412	0.980399081758785
6 206	109107	95164	13943	87.2208015984309	12.7791984015691
7 207	141327	114674	26653	81.1409001818478	18.8590998181522
8 208	108181	106242	1939	98.2076335031105	1.79236649688947
9 209	99485	93355	6130	93.8382670754385	6.16173292456149
10 210	139719	137549	2170	98.4468826716481	1.55311732835191
11 212	142643	117677	24966	82.4975638482085	17.5024361517915
12 213	107203	104506	2697	97.4842121955542	2.51578780444577
13 214	136472	132729	3743	97.2573128553843	2.74268714461575
14 250	132188	100557	31631	76.0712016219324	23.9287983780676
15 251	137998	135290	2708	98.0376527196046	1.96234728039537
