# msg_type: STATUS
9500.081998 14
9500.084822 14
9500.08764 14
9500.112 14
9500.132 14
9500.144723 14
9500.147549 14
9502.390801 13
9502.405 13
9502.415 13
9502.535 13
9502.536813 13
9504.792607 10
9504.852607 10
9504.852607 10
9504.902607 10
9504.922607 10
9504.982607 10
9505.009 6
9505.019 6
9505.022916 6
9505.025778 6
9505.03426 6
9505.039 6
9505.810327 17
9505.81321 17
9505.84 17
9505.86 17
9505.87 17
9505.885403 12
9505.888232 12
9505.891059 12
9505.917477 12
9505.92 12
9507.367418 3
9507.370305 3
9507.422 3
9507.432 3
9507.435607 3
9507.465028 3
9507.492 3
9507.70686 15
9507.736607 15
9507.763 15
9507.795097 15
9507.813 15
9508.006607 7
9508.006607 7
9508.006607 7
9508.046607 7
9508.046607 7
9508.046607 7
9508.056607 7
9508.153 16
9508.183 16
9508.186607 16
9508.187038 16
9508.198348 16
9508.203 16
9508.287607 4
9508.287607 4
9508.297607 4
9508.337607 4
9508.337607 4
9508.337607 4
9509.729607 2
9509.729607 2
9509.729607 2
9509.769607 2
9509.769607 2
9509.809607 2
9511.221607 9
9511.271607 9
9511.271607 9
9511.271607 9
9511.311607 9
9511.321607 9
9511.478 18
9511.498 18
9511.508 18
9511.521607 18
9511.526307 18
9511.534841 18
9511.538 18
9511.621607 19
9511.631607 19
9511.681607 19
9511.681607 19
9511.711607 19
9512.653607 11
9512.653607 11
9512.653607 11
9512.683607 11
9512.683607 11
9512.683607 11
9512.683607 11
9513.0 20
9513.003822 20
9513.034203 20
9513.06497 20
9513.07 20
9513.674607 5
9513.674607 5
9513.714607 5
9513.714607 5
9513.714607 5
9513.724607 5
9513.754607 5
9514.325607 8
9514.325607 8
9514.355607 8
9514.365607 8
9514.365607 8
9514.385607 8
9514.753 14
9514.763 14
9514.773 14
9514.781279 14
9514.857374 14
9517.045245 13
9517.056 13
9517.076 13
9517.083352 13
9517.086 13
9517.086184 13
9517.146 13
9519.483607 10
9519.483607 10
9519.523607 10
9519.533607 10
9519.533607 10
9520.471 17
9520.501 17
9520.521 17
9520.521 17
9520.54431 12
9520.544607 17
9520.551 17
9520.558379 12
9520.584607 12
9520.587812 12
9520.611 12
9520.614607 12
9520.614607 12
9520.644607 12
9520.644607 12
9520.654607 12
9522.351159 15
9522.377607 15
9522.383502 15
9522.394 15
9522.404 15
9522.667607 7
9522.667607 7
9522.667607 7
9522.707607 7
9522.717607 7
9522.717607 7
9522.938607 4
9522.958607 4
9522.978607 4
9522.988607 4
9523.018607 4
9524.350607 2
9524.380607 2
9524.390607 2
9524.390607 2
9524.417 2
9524.447 2
9524.460607 2
9524.467 2
9524.490607 2
9525.932607 9
9525.932607 9
9525.932607 9
9525.962607 9
9525.962607 9
9525.962607 9
9525.962607 9
9525.972607 9
9526.119797 18
9526.128315 18
9526.129 18
9526.142607 18
9526.172016 18
9526.177678 18
9526.199 18
9526.292607 19
9526.292607 19
9526.292607 19
9526.342607 19
9527.314607 11
9527.324607 11
9527.354607 11
9527.374607 11
9527.374607 11
9527.661 20
9527.674607 20
9527.681 20
9527.691 20
9527.701 20
9527.731 20
9527.734607 20
9528.375607 5
9528.405607 5
9528.405607 5
9528.425607 5
9528.445607 5
9528.456607 5
9528.466607 5
9528.476607 5
9529.036607 8
9529.036607 8
9529.066607 8
9529.076607 8
9529.076607 8
9529.106607 8
9529.356695 14
9529.364 14
9529.374 14
9529.387607 14
9529.41482 14
9529.434 14
9529.434 14
9534.084607 10
9534.124607 10
9534.124607 10
9534.124607 10
9534.134607 10
9534.184607 10
9534.322016 6
9534.324853 6
9534.327675 6
9534.337118 6
9534.344607 6
9534.344607 6
9534.351 6
9534.351 6
9534.374607 6
9534.374607 6
9534.377743 6
9534.380573 6
9535.133947 17
9535.136782 17
9535.162 17
9535.168345 17
9535.171174 12
9535.173993 12
9535.222 12
9535.222 17
9535.252 17
9535.270971 17
9535.286689 12
9536.718885 3
9536.735923 3
9536.754 3
9536.774 3
9536.775101 3
9536.777607 3
9536.777929 3
9537.013608 15
9537.016451 15
9537.019282 15
9537.035 15
9537.065 15
9537.077292 15
9537.078607 15
9537.085 15
9537.398607 7
9537.418607 7
9537.418607 7
9537.418607 7
9537.443123 16
9537.44595 16
9537.465 16
9537.468607 16
9537.554386 16
9537.559607 4
9537.616 16
9537.619607 4
9537.619607 4
9537.619607 4
9539.081607 2
9539.081607 2
9539.081607 2
9539.101607 2
9539.111607 2
9539.131607 2
9539.161607 2
9540.593607 9
9540.603607 9
9540.633607 9
9540.643607 9
9540.643607 9
9540.86499 18
9540.873607 9
9540.984607 19
9541.01 18
9541.014607 19
9541.066054 18
9541.074607 19
9541.081379 18
9541.091 18
9541.945607 11
9541.945607 11
9541.995607 11
9541.995607 11
9542.005607 11
9542.005607 11
9542.055607 11
9542.305607 20
9542.312 20
9542.315297 20
9542.341023 20
9542.342 20
9542.343849 20
9542.345607 20
9542.356607 20
9542.362 20
9542.366607 20
9542.392 20
9543.057607 5
9543.107607 5
9543.117607 5
9543.127607 5
9543.147607 5
9543.147607 5
9543.157607 5
9543.177607 5
9543.177607 5
9543.677607 8
9543.727607 8
9543.737607 8
9543.758607 8
9543.838607 8
9543.888607 8
9544.018607 14
9544.022266 14
9544.027936 14
9544.038607 14
9544.048355 14
9544.125 14
9544.135 14
9546.342442 13
9546.345298 13
9546.378 13
9546.383836 13
9546.386663 13
9546.388 13
9546.428 13
9548.775607 10
9548.775607 10
9548.785607 10
9548.825607 10
9548.825607 10
9548.825607 10
9548.885607 10
9549.012 6
9549.022 6
9549.029461 6
9549.032 6
9549.035134 6
9549.035607 6
9549.042 6
9549.085607 6
9549.784057 17
9549.808719 17
9549.913 12
9549.916607 12
9549.92879 17
9549.940113 12
9549.976607 12
9549.983 17
9549.983 12
9551.457664 3
9551.460486 3
9551.486 3
9551.511986 3
9551.516 3
9551.517646 3
9551.520473 3
9551.559607 3
9551.599607 3
9551.599607 3
9551.609607 3
9551.609607 3
9551.650679 15
9551.653509 15
9551.676 15
9551.695532 15
9551.699607 15
9551.722867 15
9551.726 15
9551.736 15
9552.059607 7
9552.059607 7
9552.110607 7
9552.110607 7
9552.270607 4
9552.310607 4
9552.310607 4
9552.310607 4
9552.320607 4
9552.340607 4
9552.350607 4
9553.732607 2
9553.772607 2
9553.802607 2
9553.802607 2
9553.812607 2
9553.822607 2
9553.852607 2
9553.892607 2
9555.314607 9
9555.384607 9
9555.401 18
9555.418565 18
9555.421407 18
9555.434607 18
9555.451 18
9555.471 18
9555.481 18
9555.504607 9
9555.504607 9
9555.565607 9
9555.665607 19
9555.665607 19
9555.675607 19
9555.675607 19
9555.685607 19
9555.715607 19
9556.666607 11
9556.666607 11
9556.676607 11
9556.676607 11
9556.726607 11
9556.967614 20
9556.973 20
9556.983 20
9556.987607 20
9557.009056 20
9557.011873 20
9557.033 20
9557.033 20
9557.778607 5
9557.778607 5
9557.808607 5
9557.808607 5
9557.818607 5
9557.818607 5
9557.828607 5
9558.389607 8
9558.389607 8
9558.389607 8
9558.419607 8
9558.429607 8
9558.439607 8
9558.729607 14
9558.729607 14
9558.743357 14
9558.746217 14
9558.74904 14
9558.751848 14
9558.789607 14
9558.837876 14
9558.876 14
9558.926 14
9559.041342 14
9560.999341 13
9561.005011 13
9561.009 13
9561.019 13
