#id# #route-maintenance# #query# #status# #queryreply-missing# #queryreply-observed# #status-missing# #status-observed#
21 1707 251 286 2871 1240 1804 270
22 73 161 242 1376 800 1071 242
23 1888 236 372 2136 995 2061 341
24 2119 368 487 3432 1478 2469 447
25 81 178 276 880 728 702 276
26 2053 529 632 3902 1901 2075 594
27 1687 268 360 1873 989 1834 346
28 2156 553 701 2415 1609 2337 644
29 1928 317 441 2789 1225 2237 414
30 2366 502 643 2307 1535 2366 606
72 1030 309 365 600 1042 1213 286
61 5454 1397 2205 758 290 1516 2200
62 6112 1774 2582 11583 3434 1273 2574
64 5239 1429 2132 3075 579 1657 2127
65 4819 1223 1849 199 141 1836 1844
67 534 1211 1631 3108 932 1657 1627
68 5640 1477 2300 2552 538 1569 2295
100 85 223 177 484 232 1308 177
101 3035 725 977 298 178 2257 872
104 5235 2728 2357 0 0 1272 2353
