#time flow_seqno path
 #This first chunk is just fully-observed routes, the chunk after the next commented line
 #contains routes with inferred packets, and then the chunk
 #after the last commented line are the scores (for the bottom half of the figure).
 #These are grouped this way for greater ease in formatting
 #the various data-groups.
 49825 8209.989 13
 49826 8210.963 13
 49827 8211.944 13
 49829 8213.901 13
 49830 8214.871 13
 49832 8216.917 13
 49833 8217.800 13
 49834 8218.829 13
 49835 8219.766 13
 49836 8220.748 13
 49837 8221.722 13
 49838 8222.698 13
 49840 8224.642 13
 49843 8226.627 13
 49846 8227.590 13
 49847 8228.556 13
 49849 8229.566 13
 49850 8229.569 13
 49851 8230.549 13
 49852 8230.551 13
 49853 8231.606 13
 49854 8231.612 13
 49855 8232.520 13
 49856 8232.523 13
 49857 8233.536 13
 49867 8238.382 13
 49868 8238.384 13
 49871 8240.330 13
 49872 8240.333 13
 49886 8247.181 13
 49889 8249.153 13
 49890 8249.156 13
 49907 8260.910 13
 49914 8263.884 13
 49960 8289.390 13
 50051 8337.375 13
 50067 8345.281 13
 50096 8358.996 13
 50109 8365.871 13
 50111 8366.792 13
 50112 8366.812 13
 50114 8367.844 13
 50115 8368.745 13
 50129 8375.636 13
 50198 8503.182 13
 50203 8508.112 13
 50205 8510.074 13
 50229 8529.629 13
 50559 8691.493 12
 50561 8692.510 12
 50563 8693.482 12
 50564 8693.485 12
 50565 8694.538 12
 50566 8694.541 12
 50567 8695.411 12
 50570 8696.415 12
 50574 8698.368 12
 50577 8700.306 12
 50603 8713.082 12
 50604 8713.085 12
 50606 8714.166 12
 50607 8715.008 12
 50608 8715.011 12
 50609 8716.033 12
 50619 8720.967 8
 50820 8825.512 10
 50821 8825.542 10
 50822 8826.533 10
 50823 8826.513 10
 50824 8827.463 10
 50832 8831.412 10
 50834 8832.452 10
 50840 8835.303 10
 50841 8835.306 10
 50842 8836.305 10
 50855 8846.101 10
 50856 8847.103 10
 50857 8848.060 10
 50858 8849.055 10
 50868 8854.975 10
 50870 8855.952 10
 50874 8857.928 10
 50875 8857.938 10
 50882 8861.852 10
 50883 8861.855 10
 50888 8864.751 10
 50890 8865.780 10
 50894 8867.702 10
 50906 8873.551 10
 50914 8877.476 10
 50951 8898.236 10
 51065 8959.895 12
 51074 8964.812 12
 51076 8965.833 12
 51188 9020.562 13
 51190 9021.565 13
 51191 9021.568 13
 51192 9022.506 13
 51194 9023.486 13
 51195 9023.486 13
 51196 9024.455 13
 51198 9025.429 13
 51199 9025.429 13
 51200 9026.420 13
 51201 9026.426 13
 51202 9027.372 13
 51204 9029.337 13
 51205 9029.340 13
 51206 9030.310 13
 51207 9030.313 13
 51208 9031.284 13
 51210 9032.252 13
 51211 9032.255 13
 51212 9033.269 13
 51213 9033.280 13
 51214 9034.262 13
 51215 9034.265 13
 51216 9035.188 13
 51217 9035.193 13
 51218 9036.158 13
 51219 9038.129 13
 51220 9039.090 13
 51221 9040.064 13
 51223 9042.039 13
 51225 9043.970 13
 51226 9044.967 13
 51229 9047.878 13
 51230 9048.858 13
 51231 9049.844 13
