#time flow_seqno path
 #This first chunk is just observed packets, the chunk after the next commented line
 #contains just inferred packets, and then the chunk
 #after the last commented line are the scores.
 #These are grouped this way for greater ease in formatting
 #the various data-groups.
 49825 8209.989 14
 49826 8210.963 14
 49827 8211.944 14
 49829 8213.901 14
 49830 8214.871 14
 49832 8216.917 14
 49833 8217.800 14
 49834 8218.829 14
 49835 8219.766 14
 49836 8220.748 14
 49837 8221.722 14
 49838 8222.698 14
 49840 8224.642 14
 49843 8226.627 14
 49846 8227.590 14
 49847 8228.556 14
 49849 8229.566 14
 49850 8229.569 14
 49851 8230.549 14
 49852 8230.551 14
 49853 8231.606 14
 49854 8231.612 14
 49855 8232.520 14
 49856 8232.523 14
 49857 8233.536 14
 49867 8238.382 14
 49868 8238.384 14
 49871 8240.330 14
 49872 8240.333 14
 49886 8247.181 14
 49889 8249.153 14
 49890 8249.156 14
 49907 8260.910 14
 49914 8263.884 14
 49960 8289.390 14
 50051 8337.375 14
 50067 8345.281 14
 50096 8358.996 14
 50109 8365.871 14
 50111 8366.792 14
 50112 8366.812 14
 50114 8367.844 14
 50115 8368.745 14
 50129 8375.636 14
 50198 8503.182 14
 50203 8508.112 14
 50205 8510.074 14
 50229 8529.629 14
 50559 8691.493 13
 50561 8692.510 13
 50563 8693.482 13
 50564 8693.485 13
 50565 8694.538 13
 50566 8694.541 13
 50567 8695.411 13
 50570 8696.415 13
 50574 8698.368 13
 50577 8700.306 13
 50603 8713.082 13
 50604 8713.085 13
 50606 8714.166 13
 50607 8715.008 13
 50608 8715.011 13
 50609 8716.033 13
 50619 8720.967 4
 50820 8825.512 8
 50821 8825.542 8
 50823 8826.513 8
 50822 8826.533 8
 50824 8827.463 8
 50832 8831.412 8
 50834 8832.452 8
 50840 8835.303 8
 50841 8835.306 8
 50842 8836.305 8
 50855 8846.101 8
 50856 8847.103 8
 50857 8848.060 8
 50858 8849.055 8
 50868 8854.975 8
 50870 8855.952 8
 50874 8857.928 8
 50875 8857.938 8
 50882 8861.852 8
 50883 8861.855 8
 50888 8864.751 8
 50890 8865.780 8
 50894 8867.702 8
 50906 8873.551 8
 50914 8877.476 8
 50951 8898.236 8
 51065 8959.895 13
 51074 8964.812 13
 51076 8965.833 13
 51188 9020.562 14
 51190 9021.565 14
 51191 9021.568 14
 51192 9022.506 14
 51195 9023.486 14
 51194 9023.486 14
 51196 9024.455 14
 51199 9025.429 14
 51198 9025.429 14
 51200 9026.420 14
 51201 9026.426 14
 51202 9027.372 14
 51204 9029.337 14
 51205 9029.340 14
 51206 9030.310 14
 51207 9030.313 14
 51208 9031.284 14
 51210 9032.252 14
 51211 9032.255 14
 51212 9033.269 14
 51213 9033.280 14
 51214 9034.262 14
 51215 9034.265 14
 51216 9035.188 14
 51217 9035.193 14
 51218 9036.158 14
 51219 9038.129 14
 51220 9039.090 14
 51221 9040.064 14
 51223 9042.039 14
 51225 9043.970 14
 51226 9044.967 14
 51229 9047.878 14
 51230 9048.858 14
 51231 9049.844 14
 51234 9051.807 14
 51235 9052.797 14
 51236 9052.803 14
 51237 9053.738 14
 51238 9053.760 14
 51239 9054.731 14
 51241 9055.713 14
 51243 9056.764 14
 51245 9057.670 14
 51248 9058.648 14
 51250 9059.702 14
 51255 9062.559 14
 51256 9062.565 14
 51257 9063.511 14
 51259 9064.491 14
 51261 9065.459 14
 51262 9065.487 14
 51263 9066.516 14
 51265 9067.428 14
 51267 9068.387 14
 51269 9069.389 14
 51273 9071.316 14
 51275 9072.312 14
 51278 9073.340 14
 51279 9074.288 14
 51280 9074.296 14
 51289 9079.157 14
 51291 9080.097 14
 51292 9080.148 14
 51293 9081.125 14
 51310 9088.980 14
 51311 9089.912 14
 51315 9091.853 14
 51317 9092.845 14
 51319 9093.813 14
 51323 9095.770 14
 51371 9119.287 14
 51372 9119.290 14
 51373 9120.289 14
 51374 9120.292 14
 51375 9121.258 14
 51377 9122.229 14
 51379 9123.213 14
 51380 9123.215 14
 51381 9124.203 14
 51384 9125.172 14
 51387 9127.152 14
 51388 9127.155 14
 51395 9131.083 14
 51449 9157.450 13
 51455 9160.423 13
 51457 9161.375 13
