#time flow_seqno path
#This first chunk is just fully-observed routes, the chunk after the next commented line
#contains routes with inferred packets, and then the chunk
#after the last commented line are the scores (for the bottom half of the figure).
#These are grouped this way for greater ease in formatting
#the various data-groups.
57213 192.000 8
57214 192.969 8
57215 193.938 8
57216 193.969 8
57217 194.906 8
57218 194.969 8
57220 195.906 8
57221 196.875 8
57222 196.906 8
57223 197.875 8
57224 198.188 8
57225 198.844 8
57226 198.875 8
57227 199.812 8
57228 199.844 8
57229 200.812 8
57230 200.844 8
57231 201.781 8
57232 201.844 8
57233 202.750 8
57235 203.750 8
57236 203.781 8
57237 204.719 8
57238 204.750 8
57239 205.688 8
57241 206.688 8
57242 206.719 8
57243 207.656 8
57244 207.688 8
57245 208.625 8
57246 208.688 8
57247 209.625 8
57248 209.625 8
57249 210.594 8
57250 210.656 8
57251 211.594 8
57252 212.219 8
57253 212.562 8
57254 212.844 8
57255 213.531 8
57257 214.531 8
57258 214.594 8
57259 215.500 8
57260 215.562 8
57261 216.500 8
57262 216.500 8
57263 217.438 8
57264 217.469 8
57265 218.438 8
57267 219.406 8
57269 220.406 8
57271 221.375 8
57273 222.344 8
57274 222.406 8
57275 223.344 8
57277 224.344 8
57278 224.375 8
57279 225.281 8
57280 225.375 8
57281 226.281 8
57282 226.281 8
57283 227.250 8
57284 227.531 8
57285 228.250 8
57286 228.250 8
57287 229.219 8
57288 229.500 8
57289 230.188 8
57291 231.156 8
57292 231.219 8
57293 232.156 8
57294 232.156 8
57295 233.125 8
57297 234.125 8
57298 234.156 8
57300 235.094 8
57301 236.062 8
57303 237.031 8
57305 238.031 8
57307 239.000 8
57309 240.000 8
57310 240.031 8
57311 240.969 8
57312 241.000 8
57313 241.938 8
57314 241.969 8
57315 242.938 8
57316 242.969 8
57317 243.906 8
57318 243.938 8
57319 244.875 8
57320 244.938 8
57321 245.875 8
57322 245.875 8
57323 246.844 8
57324 246.875 8
57325 247.844 8
57326 247.844 8
57327 248.812 8
57328 248.812 8
57329 249.812 8
57330 249.812 8
57331 250.781 8
57332 250.906 8
57333 251.750 8
57334 252.031 8
57335 252.719 8
57336 252.750 8
57337 253.688 8
57339 254.688 8
57341 255.656 8
57342 255.688 8
57343 256.625 8
57344 256.781 8
57345 257.625 8
57346 257.656 8
57347 258.594 8
57348 258.656 8
57349 259.562 8
57350 259.625 8
57351 260.562 8
57353 261.531 8
57354 261.562 8
57355 262.531 8
57356 262.562 8
57357 263.500 8
57358 263.500 8
57359 264.469 8
57360 264.500 8
57361 265.469 8
57362 265.500 8
57363 266.688 8
57364 266.719 8
57365 267.406 8
57367 268.406 8
57368 268.406 8
57369 269.375 8
57370 269.406 8
57372 270.375 8
57373 271.344 8
57374 271.375 8
57375 272.312 8
57376 272.344 8
57378 273.312 8
57379 274.281 8
57380 274.312 8
57381 275.250 8
57382 275.281 8
57383 276.250 8
57384 276.250 8
57385 277.219 8
57387 278.188 8
57388 278.219 8
57389 279.156 8
57390 279.188 8
57391 280.156 8
57392 280.188 8
57393 281.125 8
57394 281.406 8
57395 282.094 8
57397 283.094 8
57398 283.125 8
57399 284.062 8
57400 284.344 8
57401 285.031 8
57402 285.344 8
57403 286.031 8
57405 287.031 8
57406 287.031 8
57407 288.250 8
57408 288.531 8
57409 289.219 8
57410 289.250 8
57411 289.938 8
57412 289.969 8
57413 290.906 8
57414 290.969 8
57415 291.906 8
57416 291.938 8
57417 292.875 8
57418 292.906 8
57419 293.875 8
57421 294.844 8
57422 294.875 8
57423 295.812 8
57425 296.812 8
57427 297.781 8
57428 298.312 8
57429 298.750 8
57431 299.750 8
57432 300.031 8
57433 300.719 8
57434 301.000 8
57435 301.688 8
57436 301.750 8
57438 302.719 8
57439 303.656 8
