no CDF_percentage lqi_sorted lqi time_sorted
1 0.07% 42 107 0
2 0.15% 46 107 0
3 0.22% 56 108 1
4 0.29% 57 107 2
5 0.37% 66 108 2
6 0.44% 68 106 3
7 0.52% 73 107 3
8 0.59% 79 107 4
9 0.66% 80 106 5
10 0.74% 102 106 5
11 0.81% 103 105 6
12 0.88% 103 107 6
13 0.96% 103 108 7
14 1.03% 103 106 8
15 1.11% 103 104 9
16 1.18% 103 105 10
17 1.25% 103 106 10
18 1.33% 103 106 11
19 1.40% 103 107 11
20 1.47% 103 107 12
21 1.55% 104 108 13
22 1.62% 104 107 14
23 1.70% 104 107 14
24 1.77% 104 107 16
25 1.84% 104 108 16
26 1.92% 104 106 17
27 1.99% 104 106 17
28 2.06% 104 106 18
29 2.14% 104 108 18
30 2.21% 104 107 20
31 2.29% 104 108 20
32 2.36% 104 107 21
33 2.43% 104 108 22
34 2.51% 104 107 23
35 2.58% 104 107 23
36 2.65% 104 107 24
37 2.73% 104 108 24
38 2.80% 104 108 25
39 2.88% 104 108 26
40 2.95% 104 107 27
41 3.02% 104 108 27
42 3.10% 104 107 29
43 3.17% 104 106 30
44 3.24% 104 107 30
45 3.32% 104 107 31
46 3.39% 104 108 32
47 3.47% 104 106 33
48 3.54% 105 108 33
49 3.61% 105 106 34
50 3.69% 105 106 35
51 3.76% 105 108 35
52 3.83% 105 107 36
53 3.91% 105 108 36
54 3.98% 105 107 37
55 4.06% 105 108 37
56 4.13% 105 106 38
57 4.20% 105 104 39
58 4.28% 105 107 39
59 4.35% 105 106 40
60 4.42% 105 107 40
61 4.50% 105 106 41
62 4.57% 105 108 41
63 4.65% 105 106 42
64 4.72% 105 107 42
65 4.79% 105 105 44
66 4.87% 105 108 44
67 4.94% 105 105 45
68 5.01% 105 108 45
69 5.09% 105 106 46
70 5.16% 105 107 47
71 5.24% 105 106 48
72 5.31% 105 108 48
73 5.38% 105 108 49
74 5.46% 105 108 49
75 5.53% 105 107 50
76 5.60% 105 107 50
77 5.68% 105 107 51
78 5.75% 105 108 51
79 5.83% 105 106 52
80 5.90% 105 106 52
81 5.97% 105 108 53
82 6.05% 105 108 53
83 6.12% 105 105 54
84 6.19% 105 108 54
85 6.27% 105 107 55
86 6.34% 105 106 56
87 6.42% 105 108 56
88 6.49% 105 106 57
89 6.56% 105 107 59
90 6.64% 105 106 60
91 6.71% 105 105 61
92 6.78% 105 108 61
93 6.86% 105 107 63
94 6.93% 105 108 63
95 7.01% 105 106 64
96 7.08% 105 107 64
97 7.15% 105 108 64
98 7.23% 105 106 65
99 7.30% 105 107 66
100 7.37% 105 107 66
101 7.45% 105 108 67
102 7.52% 105 106 68
103 7.60% 105 106 69
104 7.67% 105 106 70
105 7.74% 105 107 70
106 7.82% 105 106 71
107 7.89% 105 108 71
108 7.96% 105 106 73
109 8.04% 105 108 73
110 8.11% 105 107 74
111 8.19% 105 107 74
112 8.26% 105 104 75
113 8.33% 105 108 75
114 8.41% 105 106 76
115 8.48% 105 108 76
116 8.55% 105 105 77
117 8.63% 105 106 78
118 8.70% 105 107 79
119 8.78% 105 107 79
120 8.85% 105 108 80
121 8.92% 105 104 82
122 9.00% 105 108 82
123 9.07% 105 106 83
124 9.14% 105 105 84
125 9.22% 105 107 84
126 9.29% 105 107 85
127 9.37% 105 108 85
128 9.44% 105 105 87
129 9.51% 105 106 88
130 9.59% 105 106 88
131 9.66% 105 108 89
132 9.73% 105 107 90
